Title,"Min Salary","Max Salary"
"Public Accountant",4200.00,9000.00
"Accounting Manager",8200.00,16000.00
"Administration Assistant",3000.00,6000.00
President,20000.00,40000.00
"Administration Vice President",15000.00,30000.00
Accountant,4200.00,9000.00
"Finance Manager",8200.00,16000.00
"Human Resources Representative",4000.00,9000.00
Programmer,4000.00,10000.00
"Marketing Manager",9000.00,15000.00
"Marketing Representative",4000.00,9000.00
"Public Relations Representative",4500.00,10500.00
"Purchasing Clerk",2500.00,5500.00
"Purchasing Manager",8000.00,15000.00
"Sales Manager",10000.00,20000.00
"Sales Representative",6000.00,12000.00
"Shipping Clerk",2500.00,5500.00
"Stock Clerk",2000.00,5000.00
"Stock Manager",5500.00,8500.00
